model,class,categories,caption,image_url,question_1,question_2
none_with_emb_without_multires,n02088632,"['attribute', 'action']",dog is wearing a collar,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02088632_84369.jpg,is there dog ?,is dog  wearing a collar?
none_with_emb_without_multires,n02088632,"['attribute', 'relation']",a dog has a red leash,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02088632_9265.jpg,is there a dog ?,is there a red leash ?
none_with_emb_without_multires,n02088466,['attribute'],the dogs eyes are black,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02088466_86483.jpg,are there the dogs ?,are there eyes ?
none_with_emb_without_multires,n01532829,['attribute'],bird has green body,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n01532829_28073.jpg,is there green body ?,is there bird ?
none_with_emb_without_multires,n02089867,['attribute'],The dogs left eye is black.,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02089867_57902.jpg,are there the dogs ?,is there eye ?
none_with_emb_without_multires,n01580077,"['attribute', 'counting']",bird has 2 feet,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n01580077_30953.jpg,is there bird ?,are there 2 feet ?
none_with_emb_without_multires,n02088094,['relation'],the dog is in the passenger seat,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02088094_63421.jpg,is there the dog ?,is there the passenger seat ?
none_with_emb_without_multires,n02090379,"['attribute', 'relation']",Black and white dog standing on a sandy ground.,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02090379_89432.jpg,is there black and white dog ?,is there a sandy ground ?
none_with_emb_without_multires,n03344393,['relation'],The boat is at somebody's home,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n03344393_24294.jpg,is there somebody's home ?,is there the boat ?
none_with_emb_without_multires,n02088238,"['attribute', 'relation']",grass under dog is green,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02088238_69341.jpg,is there dog ?,is there grass ?
none_with_emb_without_multires,n02814533,['attribute'],Front of car is red,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02814533_86497.jpg,is there car ?,is there front ?
none_with_emb_without_multires,n03796401,['attribute'],headlights of food truck are off,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n03796401_67211.jpg,are there headlights ?,is there food truck ?
none_with_emb_without_multires,n02089867,"['attribute', 'relation']",The dogs are on the comfortable looking bed,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02089867_886.jpg,are there the dogs ?,is there the comfortable looking bed ?
none_with_emb_without_multires,n03344393,"['relation', 'action']",Man drivng a boat.,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n03344393_24710.jpg,is there a boat ?,is there man ?
none_with_emb_without_multires,n02088632,"['relation', 'action']",A dog is riding in the passenger seat,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02088632_78287.jpg,is there a dog ?,is a dog  riding in the passenger seat?
none_with_emb_without_multires,n03796401,"['attribute', 'relation']",the truck is casting a shadow,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n03796401_18058.jpg,is there the truck ?,is there a shadow ?
none_with_emb_without_multires,n01560419,['attribute'],bird has white feathers,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n01560419_35730.jpg,are there white feathers ?,is there bird ?
none_with_emb_without_multires,n02089973,['attribute'],The dog has long fur.,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02089973_69703.jpg,is there long fur ?,is there the dog ?
none_with_emb_without_multires,n02123045,"['relation', 'action']",the cat is sleeping in the carpet,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02123045_5788.jpg,is there the cat ?,is the cat  sleeping in the carpet?
none_with_emb_without_multires,n01534433,['attribute'],bird has orange talons,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n01534433_55684.jpg,are there orange talons ?,is there bird ?
none_with_emb_without_multires,n03662601,['relation'],the bike is leaning on the boat ,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n03662601_23708.jpg,is there the bike ?,is there the boat ?
none_with_emb_without_multires,n02123159,"['attribute', 'relation']",cat is laying on black fabric bag,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02123159_61675.jpg,is there black fabric bag ?,is there cat ?
none_with_emb_without_multires,n02088364,"['relation', 'action']",pomeranian dog gets a ride inside duffle bag,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02088364_28564.jpg,is there a ride inside duffle bag ?,is there pomeranian dog ?
none_with_emb_without_multires,n03930630,['relation'],a food truck is on the street,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n03930630_75046.jpg,is there a food truck ?,is there the street ?
none_with_emb_without_multires,n02090721,['attribute'],the fur on the dog is black and white ,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02090721_53679.jpg,is there the dog ?,is there the fur ?
none_with_emb_without_multires,n03594945,['attribute'],Front headlight on a car. ,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n03594945_97079.jpg,is there a car ?,is there front headlight ?
none_with_emb_without_multires,n02088466,['attribute'],The dog has a brown and white sweater,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02088466_37200.jpg,is there a brown and white sweater ?,is there the dog ?
none_with_emb_without_multires,n03417042,"['relation', 'counting']",two people are in the truck,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n03417042_20770.jpg,are there two people ?,is there the truck ?
none_with_emb_without_multires,n02951358,['action'],"The boat says ""Next wave""",https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02951358_54311.jpg,is there the boat ?,is there next wave ?
none_with_emb_without_multires,n03796401,['relation'],This is a basket on a bucket truck.,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n03796401_68714.jpg,is there a bucket truck ?,is there a basket ?
none_with_emb_without_multires,n02951358,"['attribute', 'relation']",tires attached to boat are black,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02951358_40168.jpg,is there boat ?,are there tires ?
none_with_emb_without_multires,n02088238,['relation'],dog is inside sweater,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02088238_77125.jpg,is there sweater ?,is there dog ?
none_with_emb_without_multires,n03344393,['attribute'],the inside of the boat is green,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n03344393_35262.jpg,is there the boat ?,is there the inside ?
none_with_emb_without_multires,n02951358,"['attribute', 'relation']",Orange carved dragon head on a boat,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02951358_83284.jpg,is there a boat ?,is there orange carved dragon head ?
none_with_emb_without_multires,n02088466,"['relation', 'action']",the kitten is laying on top of the dog,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02088466_4071.jpg,is the kitten  laying on top of the dog?,is there top ?
none_with_emb_without_multires,n02088364,['relation'],dog's head is on the pillow,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02088364_23214.jpg,is there dog's head ?,is there the pillow ?
none_with_emb_without_multires,n02088632,['attribute'],a dog with his eyes closed,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02088632_89939.jpg,are there his eyes ?,is there a dog ?
none_with_emb_without_multires,n01582220,"['relation', 'action']",man giving bird wine,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n01582220_1876.jpg,is there bird wine ?,is there man ?
none_with_emb_without_multires,n02088466,"['attribute', 'action']",the dog is wearing a blue collar,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02088466_30956.jpg,is there a blue collar ?,is the dog  wearing a blue collar?
none_with_emb_without_multires,n02123045,['attribute'],The cat has a black nose,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02123045_13191.jpg,is there a black nose ?,is there the cat ?
none_with_emb_without_multires,n02088238,['attribute'],ears of dog are long,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02088238_11803.jpg,is there dog ?,are there ears ?
